club,nation,league,name,rating,position,price,card_types
FUT 21 ICONS,Brazil,Icons,Pelé,98,CAM,8.6M,icon gold rare
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,98,ST,9.14M,toty gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,98,ST,2.26M,toty gold rare
FC Barcelona,Argentina,LaLiga Santander,Lionel Messi,98,RW,4.89M,toty gold rare
FUT 21 ICONS,Argentina,Icons,Diego Maradona,97,CAM,4.6M,icon gold rare
Paris SG,France,Ligue 1 Conforama,Kylian Mbappé,97,ST,7.35M,toty gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,97,CAM,3.9M,toty gold rare
FUT 21 ICONS,France,Icons,Zinedine Zidane,96,CAM,4.95M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldo,96,ST,13.36M,icon gold rare
Manchester City,Belgium,Premier League,Kevin De Bruyne,96,CAM,1.97M,toty gold rare
FC Bayern,Germany,Bundesliga,Joshua Kimmich,96,CDM,1.96M,toty gold rare
Real Madrid,Spain,LaLiga Santander,Sergio Ramos,96,CB,1.81M,toty gold rare
FC Bayern,Germany,Bundesliga,Manuel Neuer,96,GK,448K,toty gold rare
Liverpool,Netherlands,Premier League,Virgil van Dijk,96,CB,2.52M,toty gold rare
FUT 21 ICONS,Brazil,Icons,Pelé,95,CF,6.14M,icon gold rare
FUT 21 ICONS,Argentina,Icons,Diego Maradona,95,CAM,2.16M,icon gold rare
FC Barcelona,Argentina,LaLiga Santander,Lionel Messi,95,CF,1.79M,ucl_tott gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldinho,94,LW,6.25M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Johan Cruyff,94,CF,6.5M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldo,94,ST,8.2M,icon gold rare
FUT 21 ICONS,Russia,Icons,Lev Yashin,94,GK,869K,icon gold rare
FUT 21 ICONS,Italy,Icons,Paolo Maldini,94,CB,4.99M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Mané Garrincha,94,RW,2.95M,icon gold rare
FUT 21 ICONS,France,Icons,Zinedine Zidane,94,CAM,2.8M,icon gold rare
FUT 21 ICONS,Hungary,Icons,Ferenc Puskás,94,CF,3.3M,icon gold rare
FC Barcelona,Argentina,LaLiga Santander,Lionel Messi,94,CF,1.09M,if gold rare
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,94,ST,4.43M,if gold rare
Liverpool,England,Premier League,Trent Alexander-Arnold,94,RB,1.17M,toty gold rare
FUT 21 ICONS,Italy,Icons,Roberto Baggio,93,CAM,780K,icon gold rare
FUT 21 ICONS,France,Icons,Thierry Henry,93,ST,2.2M,icon gold rare
FUT 21 ICONS,Italy,Icons,Franco Baresi,93,CB,380K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Carlos Alberto Torres,93,RB,1.5M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marco van Basten,93,ST,452K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ruud Gullit,93,CF,8M,icon gold rare
FUT 21 ICONS,Northern Ireland,Icons,George Best,93,RW,2.68M,icon gold rare
FUT 21 ICONS,Germany,Icons,Lothar Matthäus,93,CM,2.97M,icon gold rare
FUT 21 ICONS,Portugal,Icons,Eusébio,93,CF,6.99M,icon gold rare
FC Barcelona,Argentina,LaLiga Santander,Lionel Messi,93,RW,280K,gold rare
FUT 21 ICONS,France,Icons,Éric Cantona,93,CF,3.45M,icon gold rare
FUT 21 ICONS,Spain,Icons,Xavier Hernández,93,CM,1.35M,icon gold rare
FC Barcelona,Argentina,LaLiga Santander,Lionel Messi,93,RW,280K,ucl_rare gold rare
Atlético de Madrid,Slovenia,LaLiga Santander,Jan Oblak,93,GK,318K,ucl_live gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,93,ST,461.7K,potm_bundesliga gold rare
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,93,ST,3.09M,if gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,93,ST,288K,if gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,93,CF,261K,headliners gold rare
FC Bayern,Canada,Bundesliga,Alphonso Davies,93,LB,1.88M,toty gold rare
Liverpool,Senegal,Premier League,Sadio Mané,93,LW,2.09M,toty_nominee gold rare
Derby County,England,EFL Championship (ENG 2),Wayne Rooney,93,ST,379.35K,sbc_premium gold rare
FUT 21 ICONS,Wales,Icons,Ryan Giggs,92,LM,344K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Javier Zanetti,92,RB,670K,icon gold rare
FUT 21 ICONS,Italy,Icons,Alessandro Nesta,92,CB,479K,icon gold rare
FUT 21 ICONS,Italy,Icons,Fabio Cannavaro,92,CB,1.13M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Rivaldo,92,LW,560K,icon gold rare
FUT 21 ICONS,Bulgaria,Icons,Hristo Stoichkov,92,ST,1.45M,icon gold rare
FUT 21 ICONS,Portugal,Icons,Luís Figo,92,RW,1.29M,icon gold rare
FUT 21 ICONS,Italy,Icons,Andrea Pirlo,92,CM,568K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ruud van Nistelrooy,92,ST,373K,icon gold rare
FUT 21 ICONS,Spain,Icons,Raúl González Blanco,92,CF,1.01M,icon gold rare
FUT 21 ICONS,Mexico,Icons,Hugo Sánchez,92,ST,1.07M,icon gold rare
